title,authors,year,venue,citation_count,is_open_access,main_url,pdf_url,query
"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions","Laith Alzubaidi, Jinglan Zhang, Amjad J. Humaidi, Ayad Q. Al-Dujaili, Ye Duan, Omran Al-Shamma, José Santamaría, Mohammed A. Fadhel, Muthana Al‐Amidie, Laith Farhan",2021,Journal Of Big Data,6929,True,https://openalex.org/W3140854437,https://journalofbigdata.springeropen.com/counter/pdf/10.1186/s40537-021-00444-8,AI inference chip competition
Large language models encode clinical knowledge,"Karan Singhal, Shekoofeh Azizi, Tao Tu, S. Sara Mahdavi, Jason Lee, Hyung Won Chung, Nathan Scales, Ajay Kumar Tanwani, Heather Cole-Lewis, Stephen Pfohl, Perry W. Payne, Martin Seneviratne, Paul Gamble, Christopher Kelly, Abubakr Babiker, Nathanael Schärli, Aakanksha Chowdhery, P. Mansfield, Dina Demner‐Fushman, Blaise Agüera y Arcas, Dale R. Webster, Greg S. Corrado, Yossi Matias, Katherine Chou, Juraj Gottweis, Nenad Tomašev, Yun Liu, Alvin Rajkomar, Joëlle Barral, Christopher Semturs, Alan Karthikesalingam, Vivek Natarajan",2023,Nature,2535,True,https://openalex.org/W4384071683,https://www.nature.com/articles/s41586-023-06291-2.pdf,AI inference chip competition
"A Metaverse: Taxonomy, Components, Applications, and Open Challenges","Sangmin Park, Young‐Gab Kim",2022,IEEE Access,1666,True,https://openalex.org/W4206484811,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09667507.pdf,AI inference chip competition
"Digital Twin: Values, Challenges and Enablers From a Modeling Perspective","Adil Rasheed, Omer San, Trond Kvamsdal",2020,IEEE Access,1542,True,https://openalex.org/W3003667836,https://ieeexplore.ieee.org/ielx7/6287639/8948470/08972429.pdf,AI inference chip competition
Foundation models for generalist medical artificial intelligence,"Michael Moor, Oishi Banerjee, Zahra Shakeri Hossein Abad, Harlan M. Krumholz, Jure Leskovec, Eric J. Topol, Pranav Rajpurkar",2023,Nature,1318,True,https://openalex.org/W4365143687,https://www.nature.com/articles/s41586-023-05881-4.pdf,AI inference chip competition
In-Datacenter Performance Analysis of a Tensor Processing Unit,"Norman P. Jouppi, Cliff Young, Nishant Patil, David A. Patterson, Gaurav Agrawal, Raminder Bajwa, S. C. Bates, Suresh Bhatia, Nan Boden, Al Borchers, Rick Boyle, Pierre-luc Cantin, Clifford Chao, Chris Clark, Jeremy Coriell, Mike Daley, Matt Dau, Jay B. Dean, Ben Gelb, Tara Vazir Ghaemmaghami, Rajendra Gottipati, William Gulland, Robert B. Hagmann, C. Richard Ho, Doug Hogberg, John Wei-Shan Hu, Robert Hundt, Dan Hurt, Julian Ibarz, Aaron Jaffey, Alek Jaworski, Alexander Kaplan, Harshit Khaitan, Daniel Killebrew, Andy Koch, Naveen Kumar, Steve Lacy, James Laudon, James Law, Diemthu Le, Chris Leary, Zhuyuan Liu, Kyle Lucke, Alan Lundin, Gordon MacKean, Adriana Maggiore, Maire Mahony, Kieran Miller, Rahul Nagarajan, Ravi Narayanaswami, Ray Ni, Kathy Nix, Thomas Norrie, Mark Omernick, Narayana Penukonda, Andy Phelps, Jonathan Ross, Matt Ross, Amir Salek Farrokhi, Emad Samadiani, Chris Severn, Gregory Sizikov, Matthew Snelham, Jed Souter, Dan Steinberg, Andy Swing, Mercedes Tan, Gregory Thorson, Bo Tian, Horia Toma, Erick Tuttle, Vijay Vasudevan, Richard Walter, Walter Wang, Eric Wilcox, Doe Hyun Yoon",2017,ACM SIGARCH Computer Architecture News,1288,True,https://openalex.org/W2953212265,http://dl.acm.org/ft_gateway.cfm?id=3080246&type=pdf,AI inference chip competition
The Boundaries of the Firm Revisited,"Bengt Holmström, John Roberts",1998,The Journal of Economic Perspectives,1197,True,https://openalex.org/W2045962543,https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.12.4.73,AI inference chip competition
How Technology Is Changing Work and Organizations,"Wayne F. Cascio, Ramiro Montealegre",2016,Annual Review of Organizational Psychology and Organizational Behavior,1035,True,https://openalex.org/W2099531439,https://www.annualreviews.org/doi/pdf/10.1146/annurev-orgpsych-041015-062352,AI inference chip competition
Computational approaches streamlining drug discovery,"Anastasiia Sadybekov, Vsevolod Katritch",2023,Nature,999,True,https://openalex.org/W4367049415,https://www.nature.com/articles/s41586-023-05905-z.pdf,AI inference chip competition
The impact of information systems on organizations and markets,"Vijay Gurbaxani, Seungjin Whang",1991,Communications of the ACM,956,True,https://openalex.org/W1991358063,https://dl.acm.org/doi/pdf/10.1145/99977.99990,AI inference chip competition
