title,authors,year,venue,citation_count,is_open_access,main_url,pdf_url,query
The role of hydrogen and fuel cells in the global energy system,"Iain Staffell, Daniel Scamman, Anthony Velazquez Abad, Paul Balcombe, Paul E. Dodds, Paul Ekins, Nilay Shah, Kate R. Ward",2018,Energy & Environmental Science,3541,True,https://openalex.org/W2905218447,https://pubs.rsc.org/en/content/articlepdf/2019/ee/c8ee01157e,small modular reactor economics
Current and future role of Haber–Bosch ammonia in a carbon-free energy landscape,"Collin Smith, Alfred K. Hill, Laura Torrente‐Murciano",2019,Energy & Environmental Science,1651,True,https://openalex.org/W2998496658,https://pubs.rsc.org/en/content/articlepdf/2020/ee/c9ee02873k,small modular reactor economics
Bioconversion of lignocellulosic biomass: biochemical and molecular perspectives,"Rajiv Kumar, Sompal Singh, Om V. Singh",2008,Journal of Industrial Microbiology & Biotechnology,1239,True,https://openalex.org/W1976421712,https://academic.oup.com/jimb/article-pdf/35/5/377/34727103/jimb0377.pdf,small modular reactor economics
A Comprehensive Review of Thermal Energy Storage,"Ioan Sârbu, Călin Sebarchievici",2018,Sustainability,1162,True,https://openalex.org/W2786385826,https://www.mdpi.com/2071-1050/10/1/191/pdf?version=1515928909,small modular reactor economics
Plasma technology – a novel solution for CO<sub>2</sub> conversion?,"Ramses Snoeckx, Annemie Bogaerts",2017,Chemical Society Reviews,1134,True,https://openalex.org/W2746397488,https://pubs.rsc.org/en/content/articlepdf/2017/cs/c6cs00066e,small modular reactor economics
"Promoting novelty, rigor, and style in energy social science: Towards codes of practice for appropriate methods and research design","Benjamin K. Sovacool, Jonn Axsen, Steve Sorrell",2018,Energy Research & Social Science,1088,True,https://openalex.org/W2895330846,https://www.sciencedirect.com/science/article/pii/S2214629618307230?via%3Dihub,small modular reactor economics
Sustainable Energy Transition for Renewable and Low Carbon Grid Electricity Generation and Supply,"Moses Jeremiah Barasa Kabeyi, Oludolapo Akanni Olanrewaju",2022,Frontiers in Energy Research,907,True,https://openalex.org/W4220773259,https://www.frontiersin.org/articles/10.3389/fenrg.2021.743114/pdf,small modular reactor economics
Joint Optimization of Radio and Computational Resources for Multicell Mobile-Edge Computing,"Stefania Sardellitti, Gesualdo Scutari, Sergio Barbarossa",2015,IEEE Transactions on Signal and Information Processing over Networks,904,True,https://openalex.org/W1904504745,https://arxiv.org/pdf/1412.8416,small modular reactor economics
Towards sustainable wastewater treatment by using microbial fuel cells-centered technologies,"Wen‐Wei Li, Han‐Qing Yu, Zhen He",2013,Energy & Environmental Science,888,True,https://openalex.org/W2152227548,https://pubs.rsc.org/en/content/articlepdf/2014/ee/c3ee43106a,small modular reactor economics
Lignocellulose biotechnology: issues of bioconversion and enzyme production,"R.L. Howard, E. Abotsi, van Rensburg E.L. Jansen, Steven Howard",2003,AFRICAN JOURNAL OF BIOTECHNOLOGY,832,True,https://openalex.org/W2144823073,https://academicjournals.org/journal/AJB/article-full-text-pdf/C18EA4B11309.pdf,small modular reactor economics
Review of Antimicrobial Resistance in the Environment and Its Relevance to Environmental Regulators,"Andrew C. Singer, Helen M. Shaw, Vicki Rhodes, Alwyn Hart",2016,Frontiers in Microbiology,815,True,https://openalex.org/W2547337573,https://www.frontiersin.org/articles/10.3389/fmicb.2016.01728/pdf,small modular reactor economics
"Core–shell structured catalysts for thermocatalytic, photocatalytic, and electrocatalytic conversion of CO<sub>2</sub>","Sonali Das, Javier Pérez‐Ramírez, Jinlong Gong, Nikita Dewangan, K. Hidajat, Bruce C. Gates, Sibudjing Kawi",2020,Chemical Society Reviews,792,True,https://openalex.org/W3025294995,https://pubs.rsc.org/en/content/articlepdf/2020/cs/c9cs00713j,small modular reactor economics
"Assessing “Dangerous Climate Change”: Required Reduction of Carbon Emissions to Protect Young People, Future Generations and Nature","James E. Hansen, Pushker Kharecha, Makiko Sato, Valérie Masson‐Delmotte, Frank Ackerman, David J. Beerling, Paul J. Hearty, Ove Hoegh‐Guldberg, Shi-Ling Hsu, Camille Parmesan, Johan Rockström, Eelco J. Rohling, Jeffrey D. Sachs, Pete Smith, Konrad Steffen, Lise Van Susteren, Karina von Schuckmann, James C. Zachos",2013,PLoS ONE,666,True,https://openalex.org/W2112698403,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0081648&type=printable,small modular reactor economics
Made-to-order metal-organic frameworks for trace carbon dioxide removal and air capture,"Osama Shekhah, Youssef Belmabkhout, Zhijie Chen, Vincent Guillerm, Amy Cairns, Karim Adil, Mohamed Eddaoudi",2014,Nature Communications,662,True,https://openalex.org/W2042831115,https://www.nature.com/articles/ncomms5228.pdf,small modular reactor economics
The prospects for hydrogen as an energy carrier: an overview of hydrogen energy and hydrogen energy systems,"Marc A. Rosen, Seama Koohi‐Fayegh",2016,Energy Ecology and Environment,655,True,https://openalex.org/W2277727683,https://link.springer.com/content/pdf/10.1007%2Fs40974-016-0005-z.pdf,small modular reactor economics
"An overview of current applications, challenges, and future trends in distributed process-based models in hydrology","Simone Fatichi, Enrique R. Vivoni, Fred L. Ogden, V. Y. Ivanov, Benjamin B. Mirus, David Gochis, Charles W. Downer, Matteo Camporese, Jason Davison, Brian A. Ebel, Norm Jones, Jongho Kim, Giuseppe Mascaro, Richard G. Niswonger, P. J. Restrepo, Riccardo Rigon, Chaopeng Shen, Mauro Sulis, David G. Tarboton",2016,Journal of Hydrology,639,True,https://openalex.org/W2303468042,https://www.sciencedirect.com/science/article/am/pii/S0022169416301317?via%3Dihub,small modular reactor economics
"Power-to-liquid<i>via</i>synthesis of methanol, DME or Fischer–Tropsch-fuels: a review","Vincent Dieterich, Alexander Buttler, Andreas Hänel, H. Spliethoff, Sebastian Fendt",2020,Energy & Environmental Science,630,True,https://openalex.org/W3048702801,https://pubs.rsc.org/en/content/articlepdf/2020/ee/d0ee01187h,small modular reactor economics
Towards industrial products from microalgae,"Jesús Ruiz, Giuseppe Olivieri, Jeroen H. de Vree, Rouke Bosma, Philippe Willems, J.H. Reith, Michel H. M. Eppink, Dorinde M.M. Kleinegris, René H. Wijffels, María J. Barbosa",2016,Energy & Environmental Science,622,True,https://openalex.org/W2517822676,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c6ee01493c,small modular reactor economics
"Industrial Artificial Intelligence in Industry 4.0 - Systematic Review, Challenges and Outlook","Ricardo Silva Peres, Xiaodong Jia, Jay Lee, Keyi Sun, Armando Walter Colombo, José Barata",2020,IEEE Access,598,True,https://openalex.org/W3111221273,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09285283.pdf,small modular reactor economics
"Direct air capture: process technology, techno-economic and socio-political challenges","María Erans, Eloy S. Sanz-Pérez, Dawid P. Hanak, Zeynep Clulow, David Reiner, Greg A. Mutch",2022,Energy & Environmental Science,568,True,https://openalex.org/W4214639826,https://pubs.rsc.org/en/content/articlepdf/2022/ee/d1ee03523a,small modular reactor economics
Complex adaptive systems modeling with Repast Simphony,"Michael North, Nicholson Collier, Jonathan Ozik, Eric Tatara, Charles M. Macal, Mark Bragen, Pam Sydelko",2013,Complex Adaptive Systems Modeling,556,True,https://openalex.org/W2153373747,https://casmodeling.springeropen.com/counter/pdf/10.1186/2194-3206-1-3,small modular reactor economics
"Resource Recovery from Wastewater by Biological Technologies: Opportunities, Challenges, and Prospects","Daniel Puyol, Damien J. Batstone, Tim Hülsen, Sergi Astals, Miriam Peces, Jens O. Krömer",2017,Frontiers in Microbiology,549,True,https://openalex.org/W2570189725,https://www.frontiersin.org/articles/10.3389/fmicb.2016.02106/pdf,small modular reactor economics
Efficient electrochemical production of glucaric acid and H2 via glucose electrolysis,"Wu‐Jun Liu, Zhuoran Xu, Dongting Zhao, Xiaoqiang Pan, Hongchao Li, Xiao Hu, Zhi-Yong Fan, Wei-Kang Wang, Guohua Zhao, Song Jin, George W. Huber, Han‐Qing Yu",2020,Nature Communications,548,True,https://openalex.org/W2999372363,https://www.nature.com/articles/s41467-019-14157-3.pdf,small modular reactor economics
Compendium of sanitation systems and technologies,"Elizabeth Tilley, Christoph Lüthi, Antoine Morel, Chris Zurbrügg, Roland Schertenleib",2008,DORA Eawag (Swiss Federal Institute of Aquatic Science and Technology (Eawag)),496,True,https://openalex.org/W2280265466,https://www.dora.lib4ri.ch/eawag/islandora/object/eawag%3A10845,small modular reactor economics
"Current status of carbon capture, utilization, and storage technologies in the global economy: A survey of technical assessment","Bartosz Dziejarski, Renata Krzyżyńska, Klas Andersson",2023,Fuel,492,True,https://openalex.org/W4322490884,https://ars.els-cdn.com/content/image/1-s2.0-S0016236123003897-ga1_lrg.jpg,small modular reactor economics
Sustainable Ammonia Production Processes,"Seyedehhoma Ghavam, Maria Vahdati, Grant Wilson, Peter Styring",2021,Frontiers in Energy Research,483,True,https://openalex.org/W3150551333,https://www.frontiersin.org/articles/10.3389/fenrg.2021.580808/pdf,small modular reactor economics
"Comparative Review of Energy Storage Systems, Their Roles, and Impacts on Future Power Systems","Furquan Nadeem, S. M. Suhail Hussain, Prashant Kumar Tiwari, Arup Kumar Goswami, Taha Selim Ustun",2018,IEEE Access,479,True,https://openalex.org/W2906258387,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08580457.pdf,small modular reactor economics
