title,url,duration_minutes,published_at
China's GPU Competition: 96GB Huawei Atlas 300I Duo Dual-GPU Tear-Down,https://www.youtube.com/watch?v=qGe_fq68x-Q,26.33,2025-10-16T19:07:30Z
STILL EARLY! Top 3 AI Stocks that are Better Than Nvidia,https://www.youtube.com/watch?v=MvwqyC8CjOA,29.57,2025-11-06T14:00:42Z
Why Nvidia's Real Challengers Are Its Customers,https://www.youtube.com/watch?v=cL5FaM7XLg4,31.33,2025-08-10T12:29:07Z
"The TRUTH About Data Center AI Inference: AMD, ALAB, ANET Stock Analysis",https://www.youtube.com/watch?v=bP04Foj8nic,27.15,2025-08-07T17:38:47Z
The Nvidia-Groq Megadeal: Reshaping the AI Inference Landscape,https://www.youtube.com/watch?v=CGurls6O6_A,28.6,2025-12-25T09:08:45Z
"Geopolitics, NVIDIA’s AI Inference Push & Emerging Market Growth | Futurum Equities Podcast Ep. 26",https://www.youtube.com/watch?v=Og4G9GLAxyg,63.58,2026-01-10T16:00:39Z
"Jonathan Ross, Founder & CEO @ Groq: NVIDIA vs Groq - The Future of Training vs Inference | E1260",https://www.youtube.com/watch?v=xBMRL_7msjY,85.88,2025-02-17T15:00:17Z
The Nvidia-Groq Deal Is WAY Bigger Than Reported (3 Things the Headlines Missed),https://www.youtube.com/watch?v=BRXGDCBSARY,25.63,2025-12-27T16:00:17Z
"RAISE Summit 2025 | The AI Evolution: Open Source, Fast Inference, and the Agentic Revolution",https://www.youtube.com/watch?v=hbzEcKGjIRk,30.85,2025-07-29T16:56:03Z
"NVIDIA’s $20B ""Shadow Acquisition"": Did They Just Kill the Competition?",https://www.youtube.com/watch?v=nAgtiFBqDEs,31.25,2025-12-30T05:30:26Z
"M4 vs M5 MacBook Pro ULTRA Comparison - Holy SMOKES, Apple!",https://www.youtube.com/watch?v=Clwet4ckP2A,21.78,2025-10-23T14:00:30Z
GPT-5’s Router & the Economics of Inference,https://www.youtube.com/watch?v=D7tOJ2sKchw,25.18,2025-08-30T03:17:53Z
The future of AI chips (with Etched's Gavin Uberti) | Pioneers of AI,https://www.youtube.com/watch?v=35BLqsRIP0I,26.63,2025-03-05T19:19:37Z
"NVIDIA vs. Hyperscalers - Episode 2: TPUs, Inference and the 2026 Reality",https://www.youtube.com/watch?v=cIz6fNgVegk,27.17,2026-01-09T12:29:18Z
Nvidia's AI Dominance is a House of Cards,https://www.youtube.com/watch?v=TPpQxOcQXtA,37.28,2025-12-22T11:42:47Z
"NVIDIA KILLER? Google Built a 9,216-Chip Liquid-Cooled 'AI Hypercomputer",https://www.youtube.com/watch?v=4F-ZKjPwJvw,20.65,2025-11-10T15:12:05Z
"@HPCpodcast-74: Karl Freund, AI Chips",https://www.youtube.com/watch?v=QCJhOV9Or-o,35.18,2025-06-11T13:37:41Z
M5 vs M4 Pro MacBook Pro FULL Comparison - INSANE Value🤯,https://www.youtube.com/watch?v=ARcYx2tz84s,23.62,2025-10-26T14:00:15Z
Aura Unleashed: The Financial Rise of Physical AI for Pets,https://www.youtube.com/watch?v=X7RMExUNhdI,27.22,2026-01-12T12:15:42Z
5G and AI Podcast,https://www.youtube.com/watch?v=7nxEQtH5Z5o,20.47,2025-09-04T07:44:14Z
Amazon-OpenAI Partnership: AI Compute Implications,https://www.youtube.com/watch?v=bTquv4KI_Kg,24.02,2025-12-17T07:42:47Z
"AI Daily News Rundown: ✂️Amazon Axes 14,000 Corporate Jobs 🧠OpenAI’s GPT-5 to better handle menta...",https://www.youtube.com/watch?v=mUt9lrPutFU,20.58,2025-10-28T17:21:25Z
"AI Daily News Rundown: ✂️Amazon Axes 14,000 Corporate Jobs 🧠OpenAI’s GPT-5 to better handle...",https://www.youtube.com/watch?v=m9azDL3pRSE,20.58,2025-10-28T17:15:26Z
China's AI Brute Force: How Cheap Energy Subsidizes the Chip War,https://www.youtube.com/watch?v=ZHT0xefnRqs,28.72,2026-01-21T20:13:13Z
Ethernet is DEAD?? Mac Studio is 100x FASTER!!,https://www.youtube.com/watch?v=bFgTxr5yst0,33.23,2025-12-20T16:58:24Z
Cerebras: AI Chip Unicorn Profile and Growth Metrics,https://www.youtube.com/watch?v=AOR7Otpkb50,36.78,2025-12-09T00:54:15Z
Elon’s entire tech tree is converging right now,https://www.youtube.com/watch?v=BYXbuik3dgA,169.77,2026-02-05T17:02:28Z
"Episode 4: Open AI Code Red, TPU vs GPU and More Autonomous Coding Agents",https://www.youtube.com/watch?v=NB2USIoImwI,64.62,2025-12-05T12:00:48Z
【特集】AI電力革命 推論効率10万倍達成の技術全貌【聞く経済ニュース】,https://www.youtube.com/watch?v=B7t0Y9VhVuY,24.82,2025-11-05T11:00:19Z
"🔴 NOTICIAS IA: Navidad ROBOT, SORA 2 En LATAM, Guerra de CHIPS",https://www.youtube.com/watch?v=pDnRYrzAtBk,20.23,2025-12-27T20:52:10Z
